capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage,snapshot_url
2024-07-31,17:41:46,Total number of signatories,33,,,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Austria,1,13395,0.01,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Belgium,1,14805,0.01,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Bulgaria,0,11985,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Croatia,1,8460,0.01,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Cyprus,0,4230,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Czechia,0,14805,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Denmark,2,9870,0.02,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Estonia,0,4935,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Finland,1,9870,0.01,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,France,0,55695,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Germany,13,67680,0.02,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Greece,1,14805,0.01,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Hungary,0,14805,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Ireland,1,9165,0.01,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Italy,1,53580,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Latvia,0,5640,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Lithuania,0,7755,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Luxembourg,0,4230,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Malta,0,4230,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Netherlands,4,20445,0.02,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Poland,1,36660,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Portugal,0,14805,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Romania,0,23265,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Slovakia,1,9870,0.01,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Slovenia,0,5640,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Spain,0,41595,0.00,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Sweden,5,14805,0.03,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,22:14:35,Total number of signatories,33,,,https://web.archive.org/web/20240731221435/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Austria,200,13395,1.49,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Belgium,269,14805,1.82,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Bulgaria,153,11985,1.28,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Croatia,106,8460,1.25,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Cyprus,12,4230,0.28,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Czechia,306,14805,2.07,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Denmark,538,9870,5.45,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Estonia,149,4935,3.02,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Finland,738,9870,7.48,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,France,921,55695,1.65,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Germany,1993,67680,2.94,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Greece,104,14805,0.70,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Hungary,224,14805,1.51,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Ireland,335,9165,3.66,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Italy,428,53580,0.80,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Latvia,121,5640,2.15,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Lithuania,236,7755,3.04,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Luxembourg,13,4230,0.31,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Malta,12,4230,0.28,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Netherlands,928,20445,4.54,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Poland,1971,36660,5.38,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Portugal,322,14805,2.17,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Romania,297,23265,1.28,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Slovakia,122,9870,1.24,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Slovenia,63,5640,1.12,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Spain,482,41595,1.16,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Sweden,743,14805,5.02,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:27:21,Total number of signatories,11786,,,https://web.archive.org/web/20240801102721/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Austria,200,13395,1.49,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Belgium,269,14805,1.82,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Bulgaria,153,11985,1.28,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Croatia,106,8460,1.25,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Cyprus,12,4230,0.28,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Czechia,306,14805,2.07,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Denmark,538,9870,5.45,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Estonia,149,4935,3.02,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Finland,738,9870,7.48,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,France,921,55695,1.65,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Germany,1993,67680,2.94,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Greece,104,14805,0.70,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Hungary,224,14805,1.51,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Ireland,335,9165,3.66,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Italy,428,53580,0.80,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Latvia,121,5640,2.15,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Lithuania,236,7755,3.04,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Luxembourg,13,4230,0.31,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Malta,12,4230,0.28,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Netherlands,928,20445,4.54,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Poland,1971,36660,5.38,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Portugal,322,14805,2.17,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Romania,297,23265,1.28,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Slovakia,122,9870,1.24,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Slovenia,63,5640,1.12,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Spain,482,41595,1.16,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Sweden,743,14805,5.02,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-01,10:53:41,Total number of signatories,11786,,,https://web.archive.org/web/20240801105341/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Austria,842,13395,6.29,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Belgium,1934,14805,13.06,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Bulgaria,438,11985,3.65,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Croatia,684,8460,8.09,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Cyprus,43,4230,1.02,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Czechia,826,14805,5.58,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Denmark,1763,9870,17.86,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Estonia,413,4935,8.37,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Finland,2740,9870,27.76,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,France,4322,55695,7.76,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Germany,9888,67680,14.61,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Greece,416,14805,2.81,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Hungary,787,14805,5.32,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Ireland,1254,9165,13.68,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Italy,2137,53580,3.99,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Latvia,410,5640,7.27,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Lithuania,729,7755,9.40,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Luxembourg,111,4230,2.62,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Malta,65,4230,1.54,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Netherlands,3730,20445,18.24,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Poland,5092,36660,13.89,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Portugal,1538,14805,10.39,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Romania,1514,23265,6.51,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Slovakia,535,9870,5.42,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Slovenia,253,5640,4.49,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Spain,2296,41595,5.52,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Sweden,2855,14805,19.28,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,00:10:12,Total number of signatories,47615,,,https://web.archive.org/web/20240802001012/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Austria,842,13395,6.29,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Belgium,1934,14805,13.06,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Bulgaria,438,11985,3.65,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Croatia,684,8460,8.09,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Cyprus,43,4230,1.02,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Czechia,826,14805,5.58,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Denmark,1763,9870,17.86,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Estonia,413,4935,8.37,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Finland,2740,9870,27.76,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,France,4322,55695,7.76,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Germany,9888,67680,14.61,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Greece,416,14805,2.81,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Hungary,787,14805,5.32,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Ireland,1254,9165,13.68,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Italy,2137,53580,3.99,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Latvia,410,5640,7.27,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Lithuania,729,7755,9.40,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Luxembourg,111,4230,2.62,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Malta,65,4230,1.54,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Netherlands,3730,20445,18.24,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Poland,5092,36660,13.89,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Portugal,1538,14805,10.39,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Romania,1514,23265,6.51,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Slovakia,535,9870,5.42,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Slovenia,253,5640,4.49,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Spain,2296,41595,5.52,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Sweden,2855,14805,19.28,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:11:38,Total number of signatories,47615,,,https://web.archive.org/web/20240802151138/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Austria,842,13395,6.29,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Belgium,1934,14805,13.06,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Bulgaria,438,11985,3.65,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Croatia,684,8460,8.09,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Cyprus,43,4230,1.02,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Czechia,826,14805,5.58,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Denmark,1763,9870,17.86,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Estonia,413,4935,8.37,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Finland,2740,9870,27.76,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,France,4322,55695,7.76,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Germany,9888,67680,14.61,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Greece,416,14805,2.81,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Hungary,787,14805,5.32,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Ireland,1254,9165,13.68,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Italy,2137,53580,3.99,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Latvia,410,5640,7.27,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-08-02,15:42:56,Lithuania,729,7755,9.40,https://web.archive.org/web/20240802154256/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
